str,en,es
aba_rtn,ABA/RTN,ABA/RTN
account_created,Your account has been created,Tu cuenta ha sido creada
account_level,Account Level,Nivel de Cuenta
account_not_found,Account not found,Cuenta no encontrada
add_cards,Add Cards,Agregar tarjetas
add_fund,Add Fund,Agregar fondo
add_funds,Add Funds,Agregar fondos
add_info,Additional Information,Información adicional
add_money,Add money,Agregar dinero
add_new_wallet,Add new account,Agregar nueva cuenta
additional_security,Additional Security,Seguridad Adicional
address,Address,Dirección
alert,Alert,Alerta
all,All,Todos
all_transfers,All transfers,Todas las transferencias
amount,Amount,Monto
and,and,y
app_name,Kraun,Kraun
avatar,Avatar,Avatar
bank_account,Bank Account,Cuenta bancaria
bank_settings,My Card & Bank Settings,Mi Tarjeta & Configuraciones bancarias
beneficiary,Beneficiary,Beneficiario
beneficiary_phone_number,Beneficiary's Phone Number,Número telefónico de beneficiarios
bill_category,Bill Category,Categoría de factura
bill_number,Bill Number,Número de factura
biller,Biller,Emisor
billers_merchants,Billers/Merchants,Facturadores/Comerciantes
biometric_connect,Connect,Conectar
biometric_connect_description,Connect Face Id and you can use application without entering passcode or password,Conecte el Identificar Facial y podrá usar la  aplicación sin usar el código de acceso o contraseña
biometric_face_id_alert,Setup Face ID to enter without access code,Configura tu Face ID para ingresar sin código de acceso
biometric_face_id_message,Connect Biometrics and you can use application without entering passcode or password,Conecta tu Face Id y podrás usar la aplicación sin ingresar un código de acceso o contraseña
biometric_face_id_title,Face ID,Reconocimiento facial
biometric_touch_id_action,Connect Touch ID,Conectar Touch ID
biometric_touch_id_alert,Setup Touch ID to enter without access code,Configuración de Touch ID para ingresar sin código de acceso
biometric_touch_id_alert,Setup Touch ID to enter without access code,Configuración de Touch ID para ingresar sin código de acceso
biometric_touch_id_message,Connect Biometrics and you can use application without entering passcode or password,Conecte Biométricos y podrá usar la aplicación sin usar código de acceso o contraseña
blocked_account,Looks like your account is locked,Parece que tu cuenta está restringuida
blocked_ip,Looks like your IP is blocked,Parece que tu IP está bloqueda
buy_insurance,Buy Insurance,Comprar seguro
buy_stocks,Buy Stocks,Comprar acciones
cancel,Cancel,Cancelar
cannot_forgot_password,Unable to restore password,No es possible restarurar la contraseña
cant_make_transactions_between_your_accounts,You cannot make transactions between your accounts,No es posible que realices transacciones entre tus cuentas
cant_request_money,Now you can request money only from Kraun clients,Ahora puedes solicitar dinero solo a los clientes de la App
cant_sent_money,Now you can send money only to Kraun clients,Ahora puedes enviar dinero solo a clientes de la App
card_number,Card Number,Número de tarjeta
categories,Categories,Categorías
cash_in,Cash in,Agregar fondos
cash_out,Cash out,Retirar fondos
change_nickname_description,It’s a short name for easy communication,Es un nombre completo para facilitar la comunicación
change_passcode,Change Passcode,Cambiar código de acceso
change_password,Change Password,Cambiar contraseña
change_password_description,Fill follow fields to change the password.,Completa los siguientes campos para actualizar tu contraseña.
check_your_email_instructions,Check your email for instructions,Revisa tu cuenta de correo para instrucciones
check_your_sms_instructions,Check your sms for instructions,Revisa tu SMS para instrucciones
clear,Clear,Borrar
close,Close,Cerrar
code_sent_to_number,Code has been sent to number,El código se ha enviado al número
code_sent_to_your_email,Code has been sent to you email address,El código ha sido enviado a su correo electrónico
confirm_new_password,Confirm New Password,Confirmar nueva contraseña
confirmation,Confirmation,Confirmación
connect_address_book,Connect Address Book,Conectar con Libreta de Direcciónes
continue,Continue,Continuar
country,Country,País
create_account,Create an Account,Crear una Cuenta
create_new_password,Create a new password,Crear una nueva contraseña
create_passcode,Set a passcode for your account,Establezca un código de acceso para su cuenta
credit_card,Credit Card,Tarjeta de Crédito
currency_swap,Currency Swap,Intercambio de moneda
cvv,CVV,CVV
date_created,Date Created,Fecha de creación
date_from,Date From,Fecha Inicio
date_of_birth,Date of Birth,Fecha de Nacimiento
date_to,Date To,Fecha Fin
decimal_gte_validation,Invalid decimal part,Parte decimal inválida
delete,Delete,Eliminar
delete_request,Delete Request?,Eliminar solicitud?
delete_send_money_request,Do you want to delete send money request? You won’t see it again,¿Quieres eliminar la solicitud de envío de dinero? No volverlo a ver de nuevo
deposit_not_allowed,It is not allowed to perform deposit to this account,No está permitido realizar depósitos en esta cuenta.
description,Description,Descripción
done,Done,Creado
dynamic,Dynamic,Dynamic
email_or_phone_number,Email Address or Phone Number,Dirección de correo electrónico o número de teléfono
enter_pass_code,Enter your Passcode,Ingresa tu código de acceso
error,Error,Falla
error_blocked_account,Looks like your account is locked,Parece que tu cuenta está bloqueada
error_blocked_ip,Looks like your IP is blocked,Para que tu dirección IP está bloqueada
error_email_already_exists,Provided email already exists,El correo electrónico proporcionado ya existe
error_field_is_required,Field is required,Campo indispensable
error_insufficient_wallet_balance,Insufficient Account Balance,Saldo insuficiente
error_internet_connection,Internet Connection Error,Sin conexión a internet
error_invalid_code,Invalid code!,Invalid code!
error_invalid_email,The e-mail address is not valid,Esta dirección de correo electrónico no es válida
error_invalid_password,Invalid password,Contraseña inválida
error_invalid_password_or_email,"Sorry, unrecognized username or password. Have you forgotten your password?","Disculpa, no se reconoce el usuario o la contraseña. ¿Haz olvidado tu contraseña?"
error_invalid_phone_number,Invalid phone number!,Número de teléfono inválido
error_maintenance_mode,The system is in maintenance mode,El Sistema se encuentra en mantenimiento
error_max_chars,Should be maximum {count} chars,Debe tener máximo {count} caracteres
error_min_chars,Should be minimum {count} chars,Debe tener mínimo {count} caracteres
error_password_mismatch,Password mismatch,La contraseña no coincide
error_password_requirements,"Should contain at least 1 number, 1 uppercase letter and 1 special character","Debe tener mínimo 1 número, 1 mayúscula y 1 caracter especial"
error_passwords_do_not_match,Passwords do not match,Las contraseñas no coinciden
error_phone_already_exists,Provided phone number already exists,El número de teléfono ingresado ya existe
error_should_be_minimum_eight_characters,Should be a minimum of 8 characters,Debe tener mínimo 8 caracteres
error_should_be_minimum_three_characters,Should be a minimum of 3 characters,Debe tener mínimo 3 caracteres
error_something_went_wrong,Something went wrong!,¡ Algo salió mal !
error_transaction_not_possible_due_to_difference_currency,"The transaction is not possible due to difference in currency types you and your contact use","La transacción no es posible realizarla, debido a la diferencia de tipos de moneda que tú y tu contacto usan"
error_user_not_found,The user is not found,El usaurio no se encotró
error_users_user_is_dormant,The user has dormant status,El usuario está en estatus inactivo
error_users_user_is_not_active,The user is not active,El usuario no está activo
error_users_user_is_pending,The user has status pending,El usuario tiene estatus pendiente
